rules;name
15/1/2/3/4/5/6/7/8/9/10/11/12/13/14/0/;Tron
15/14/13/3/11/5/6/1/7/9/10/2/12/4/8/0/;Critter
0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/;Stable
0/7/11/3/13/5/6/7/14/9/10/11/12/13/14/15/;Toothpick
0/2/8/3/1/5/6/7/4/9/10/11/12/13/14/15/;Single rotate
0/2/8/3/1/5/6/13/4/9/10/7/12/14/11/15/;Double rotate
0/8/4/3/2/5/9/7/1/6/10/11/12/13/14/15/;Billard Ball Machine
0/8/4/3/2/5/9/14/1/6/10/13/12/11/7/15/;Bounce Gas
0/8/4/12/2/10/9/14/1/6/5/13/3/11/7/15/;HPP Gas
0/2/8/12/1/10/9/11/4/6/5/14/3/7/13/15/;Rotations
0/2/8/12/1/10/9/13/4/6/5/7/3/14/11/15/;Rotations II
0/4/1/10/8/3/9/11/2/6/12/14/5/7/13/15/;Rotations III
0/4/1/12/8/10/6/14/2/9/5/13/3/11/7/15/;Rotations IV
0/1/2/12/4/10/9/7/8/6/5/11/3/13/14/15/;String Thing
0/1/2/12/4/10/6/7/8/9/5/11/3/13/14/15/;String Thing II
0/8/4/12/2/10/6/14/1/9/5/13/3/11/7/15/;Swap on Diag
